precision,recall,f_measure,average_precision,query_time,average_query_time,median_query_time
0.03,1.0,0.06,0.7,9.13,9.13,9.13
0.06,1.0,0.11,0.59,6.09,7.61,7.61
0.01,1.0,0.02,1.0,21.63,12.28,9.13
0.03,1.0,0.06,0.04,12.18,12.26,10.66
0.04,1.0,0.08,0.4,9.26,11.66,9.26
0.01,1.0,0.02,1.0,5.95,10.71,9.2
0.04,1.0,0.08,1.0,19.65,11.99,9.26
0.01,1.0,0.02,0.33,2.23,10.77,9.2
0.01,1.0,0.02,1.0,10.6,10.75,9.26
0.06,1.0,0.11,0.73,11.57,10.83,9.93
0.18,0.82,0.3,0.79,4.74,10.28,9.26
0.0,0.0,0.0,0.0,6.22,9.94,9.2
0.02,1.0,0.04,1.0,15.96,10.4,9.26
0.01,1.0,0.02,1.0,11.44,10.48,9.93
0.07,1.0,0.13,0.08,2.71,9.96,9.26
0.06,1.0,0.11,0.98,4.41,9.61,9.2
0.01,1.0,0.02,1.0,3.98,9.28,9.13
0.01,1.0,0.02,1.0,13.91,9.54,9.2
0.0,0.0,0.0,0.0,12.29,9.68,9.26
0.15,1.0,0.26,0.74,8.48,9.62,9.2
0.14,1.0,0.25,0.93,4.01,9.35,9.13
0.03,1.0,0.06,0.07,3.12,9.07,8.81
0.13,1.0,0.23,0.59,4.94,8.89,8.48
0.02,1.0,0.04,1.0,28.26,9.7,8.81
0.02,1.0,0.04,0.54,12.82,9.82,9.13
0.03,0.33,0.06,0.41,8.21,9.76,8.81
0.02,1.0,0.04,1.0,9.18,9.74,9.13
0.0,0.0,0.0,0.0,7.69,9.67,8.81
0.02,1.0,0.04,0.62,12.64,9.77,9.13
0.02,1.0,0.04,0.23,11.78,9.84,9.16
0.19,0.9,0.31,0.8,9.01,9.81,9.13
0.02,1.0,0.04,1.0,3.53,9.61,9.07
0.0,0.0,0.0,0.0,7.29,9.54,9.01
0.01,1.0,0.02,1.0,26.97,10.06,9.07
0.08,1.0,0.15,0.87,4.39,9.89,9.01
0.14,1.0,0.25,0.95,14.26,10.01,9.07
0.02,1.0,0.04,0.83,10.81,10.04,9.13
0.01,1.0,0.02,1.0,15.56,10.18,9.16
0.06,1.0,0.11,0.56,18.1,10.38,9.18
0.2,1.0,0.33,0.5,2.66,10.19,9.16
0.22,1.0,0.36,0.72,6.41,10.1,9.13
0.05,1.0,0.1,0.81,21.38,10.37,9.16
0.01,1.0,0.02,1.0,1.98,10.17,9.13
0.01,1.0,0.02,1.0,9.44,10.16,9.16
0.01,1.0,0.02,1.0,5.54,10.05,9.13
0.01,1.0,0.02,1.0,12.83,10.11,9.16
0.04,0.8,0.08,0.04,12.71,10.17,9.18
0.0,0.0,0.0,0.0,4.09,10.04,9.16
0.08,1.0,0.15,0.34,8.83,10.02,9.13
0.03,1.0,0.06,0.42,16.8,10.15,9.16
0.01,0.33,0.02,0.01,12.0,10.19,9.18
0.03,0.6,0.06,0.57,6.22,10.11,9.16
0.0,0.0,0.0,0.0,13.2,10.17,9.18
0.12,1.0,0.21,0.94,2.81,10.04,9.16
0.05,1.0,0.1,0.33,3.42,9.92,9.13
0.08,0.89,0.15,1.0,1.58,9.77,9.07
0.01,1.0,0.02,0.33,3.89,9.66,9.01
0.02,1.0,0.04,0.42,5.86,9.6,8.92
0.0,0.0,0.0,0.0,12.82,9.65,9.01
0.03,1.0,0.06,1.0,3.84,9.56,8.92
0.07,1.0,0.13,0.67,7.43,9.52,8.83
0.01,1.0,0.02,0.17,6.4,9.47,8.66
0.02,0.67,0.04,0.04,8.8,9.46,8.8
0.0,0.0,0.0,0.0,11.97,9.5,8.81
0.04,0.5,0.07,0.05,10.03,9.51,8.83
0.05,0.83,0.09,0.7,7.5,9.48,8.81
0.0,0.0,0.0,0.0,2.95,9.38,8.8
0.07,0.7,0.13,0.79,5.21,9.32,8.64
0.01,1.0,0.02,0.02,4.23,9.24,8.48
0.01,1.0,0.02,0.5,5.07,9.18,8.35
0.08,0.89,0.15,0.11,6.26,9.14,8.21
0.03,0.75,0.06,0.3,5.23,9.09,7.95
0.01,1.0,0.02,1.0,9.33,9.09,8.21
0.01,1.0,0.02,0.33,6.13,9.05,7.95
0.0,0.0,0.0,0.0,3.37,8.98,7.69
0.01,1.0,0.02,1.0,2.1,8.89,7.6
0.02,0.67,0.04,1.0,3.41,8.81,7.5
0.01,1.0,0.02,1.0,1.57,8.72,7.46
