precision,recall,f_measure,average_precision,query_time,average_query_time,median_query_time
0.03,1.0,0.06,0.7,9.5,9.5,9.5
0.06,1.0,0.11,0.59,6.22,7.86,7.86
0.01,1.0,0.02,1.0,24.64,13.45,9.5
0.03,1.0,0.06,0.09,12.37,13.18,10.93
0.04,1.0,0.08,0.4,10.23,12.59,10.23
0.01,1.0,0.02,1.0,6.72,11.61,9.86
0.04,1.0,0.08,1.0,21.85,13.07,10.23
0.01,1.0,0.02,0.33,2.59,11.76,9.86
0.01,1.0,0.02,1.0,12.21,11.81,10.23
0.06,1.0,0.11,0.73,13.86,12.02,11.22
0.18,0.82,0.3,0.79,5.73,11.45,10.23
0.03,1.0,0.06,0.47,6.86,11.06,9.86
0.02,1.0,0.04,1.0,18.5,11.64,10.23
0.01,1.0,0.02,1.0,13.33,11.76,11.22
0.07,1.0,0.13,0.66,2.76,11.16,10.23
0.06,1.0,0.11,0.98,5.2,10.78,9.86
0.01,1.0,0.02,1.0,4.87,10.44,9.5
0.01,1.0,0.02,1.0,15.74,10.73,9.86
0.02,1.0,0.04,0.14,12.52,10.83,10.23
0.15,1.0,0.26,0.34,9.75,10.77,9.99
0.14,1.0,0.25,0.93,4.44,10.47,9.75
0.03,1.0,0.06,0.07,3.57,10.16,9.62
0.13,1.0,0.23,0.59,5.66,9.96,9.5
0.02,1.0,0.04,1.0,23.58,10.53,9.62
0.02,1.0,0.04,0.54,11.67,10.57,9.75
0.03,0.33,0.06,0.41,8.38,10.49,9.62
0.02,1.0,0.04,1.0,9.52,10.45,9.52
0.0,0.0,0.0,0.0,7.37,10.34,9.51
0.02,1.0,0.04,0.62,13.62,10.46,9.52
0.02,1.0,0.04,0.23,9.98,10.44,9.63
0.19,0.9,0.31,0.8,9.43,10.41,9.52
0.02,1.0,0.04,1.0,3.7,10.2,9.51
0.0,0.0,0.0,0.0,7.68,10.12,9.5
0.01,1.0,0.02,1.0,29.6,10.7,9.51
0.08,1.0,0.15,0.87,4.72,10.52,9.5
0.14,1.0,0.25,0.95,14.64,10.64,9.51
0.02,1.0,0.04,0.83,11.44,10.66,9.52
0.01,1.0,0.02,1.0,16.17,10.81,9.63
0.06,1.0,0.11,0.56,18.87,11.01,9.75
0.2,1.0,0.33,0.5,2.79,10.81,9.63
0.22,1.0,0.36,0.87,6.29,10.7,9.52
0.05,1.0,0.1,0.81,20.76,10.94,9.63
0.01,1.0,0.02,1.0,2.2,10.73,9.52
0.01,1.0,0.02,1.0,9.45,10.7,9.51
