precision,recall,f_measure,average_precision,query_time,average_query_time,median_query_time
0.02,0.33,0.04,0.02,7.4,7.4,7.4
0.06,0.5,0.11,0.14,4.88,6.14,6.14
0.02,1.0,0.04,0.5,19.05,10.44,7.4
0.0,0.0,0.0,0.0,10.91,10.56,9.15
0.08,1.0,0.15,0.38,8.39,10.12,8.39
0.02,1.0,0.04,1.0,5.46,9.35,7.89
0.08,1.0,0.15,0.89,17.56,10.52,8.39
0.02,1.0,0.04,1.0,2.02,9.46,7.89
0.02,1.0,0.04,1.0,9.99,9.52,8.39
0.08,0.67,0.14,0.72,10.28,9.59,9.19
0.34,0.77,0.47,0.69,4.29,9.11,8.39
0.0,0.0,0.0,0.0,5.56,8.82,7.89
0.04,1.0,0.08,1.0,14.43,9.25,8.39
0.02,1.0,0.04,1.0,10.43,9.33,9.19
0.12,0.86,0.21,0.11,2.56,8.88,8.39
0.12,1.0,0.21,0.67,3.92,8.57,7.89
0.02,1.0,0.04,1.0,3.57,8.28,7.4
0.02,1.0,0.04,1.0,12.31,8.5,7.89
0.0,0.0,0.0,0.0,10.79,8.62,8.39
0.28,0.93,0.43,0.74,7.61,8.57,8.0
0.28,1.0,0.44,0.9,3.36,8.32,7.61
0.04,0.67,0.08,0.21,2.73,8.07,7.5
0.26,1.0,0.41,0.7,4.46,7.91,7.4
0.04,1.0,0.08,0.24,20.93,8.45,7.5
0.02,0.5,0.04,1.0,9.49,8.49,7.61
0.1,0.56,0.17,0.53,6.51,8.42,7.5
0.04,1.0,0.08,1.0,7.4,8.38,7.4
0.0,0.0,0.0,0.0,6.08,8.3,7.4
0.04,1.0,0.08,1.0,10.42,8.37,7.4
0.0,0.0,0.0,0.0,9.55,8.41,7.51
0.4,0.95,0.56,0.75,7.36,8.38,7.4
0.04,1.0,0.08,0.38,2.58,8.2,7.4
0.0,0.0,0.0,0.0,6.0,8.13,7.4
0.02,1.0,0.04,1.0,21.06,8.51,7.4
0.16,1.0,0.28,0.81,3.37,8.36,7.4
0.28,1.0,0.44,0.77,10.67,8.43,7.4
0.04,1.0,0.08,1.0,8.26,8.42,7.4
0.02,1.0,0.04,1.0,11.48,8.5,7.51
0.12,1.0,0.21,0.79,13.94,8.64,7.61
0.2,1.0,0.33,0.5,2.02,8.48,7.51
0.28,0.64,0.39,0.62,4.81,8.39,7.4
0.1,1.0,0.18,0.69,16.18,8.57,7.51
0.02,1.0,0.04,1.0,1.53,8.41,7.4
0.02,1.0,0.04,0.33,6.98,8.38,7.4
0.02,1.0,0.04,0.06,4.42,8.29,7.4
0.02,1.0,0.04,1.0,10.23,8.33,7.4
0.02,0.2,0.04,0.02,9.09,8.35,7.4
0.0,0.0,0.0,0.0,3.15,8.24,7.4
0.16,1.0,0.28,0.61,6.37,8.2,7.4
0.06,1.0,0.11,0.27,12.83,8.29,7.4
0.0,0.0,0.0,0.0,9.01,8.31,7.4
0.06,0.6,0.11,0.36,4.56,8.24,7.4
0.0,0.0,0.0,0.0,9.84,8.27,7.4
0.24,1.0,0.39,0.6,2.07,8.15,7.4
0.02,0.2,0.04,0.07,2.95,8.06,7.4
0.16,0.89,0.27,0.52,1.35,7.94,7.38
0.02,1.0,0.04,0.12,3.15,7.85,7.36
0.04,1.0,0.08,1.0,4.8,7.8,7.17
0.0,0.0,0.0,0.0,9.95,7.84,7.36
0.06,1.0,0.11,1.0,3.06,7.76,7.17
0.12,0.86,0.21,0.44,5.59,7.72,6.98
0.02,1.0,0.04,0.09,4.89,7.68,6.74
0.0,0.0,0.0,0.0,6.43,7.66,6.51
0.0,0.0,0.0,0.0,9.22,7.68,6.74
0.1,0.62,0.17,0.28,7.03,7.67,6.98
0.06,0.5,0.11,0.7,5.82,7.64,6.74
0.0,0.0,0.0,0.0,2.35,7.56,6.51
0.14,0.7,0.23,0.8,3.55,7.5,6.47
0.02,1.0,0.04,0.33,3.15,7.44,6.43
0.02,1.0,0.04,1.0,3.88,7.39,6.4
0.08,0.44,0.14,0.23,5.06,7.36,6.37
0.02,0.25,0.04,0.03,4.43,7.32,6.22
0.02,1.0,0.04,0.5,8.35,7.33,6.37
0.02,1.0,0.04,0.5,5.53,7.31,6.22
0.0,0.0,0.0,0.0,3.17,7.25,6.08
0.02,1.0,0.04,0.5,1.88,7.18,6.04
0.04,0.67,0.08,0.83,3.05,7.13,6.0
0.02,1.0,0.04,1.0,1.37,7.05,5.91
0.04,0.67,0.08,0.11,4.12,7.02,5.82
0.0,0.0,0.0,0.0,11.78,7.08,5.91
0.06,1.0,0.11,1.0,1.7,7.01,5.82
0.02,0.14,0.04,1.0,5.91,7.0,5.87
0.0,0.0,0.0,0.0,5.0,6.97,5.82
0.06,0.75,0.11,0.79,3.95,6.94,5.71
0.0,0.0,0.0,0.0,4.09,6.9,5.59
0.02,1.0,0.04,1.0,3.1,6.86,5.57
0.02,0.33,0.04,0.12,4.05,6.83,5.56
0.0,0.0,0.0,0.0,5.36,6.81,5.54
0.04,0.33,0.07,0.06,3.18,6.77,5.53
0.02,1.0,0.04,1.0,0.48,6.7,5.49
0.0,0.0,0.0,0.0,2.28,6.65,5.46
0.04,0.4,0.07,0.13,3.38,6.61,5.41
0.14,1.0,0.25,0.91,4.13,6.59,5.36
0.18,1.0,0.31,0.54,1.63,6.54,5.21
0.02,1.0,0.04,0.04,17.45,6.65,5.36
0.02,1.0,0.04,0.02,5.31,6.64,5.34
0.0,0.0,0.0,0.0,3.13,6.6,5.31
0.0,0.0,0.0,0.0,2.03,6.55,5.19
0.1,1.0,0.18,0.3,2.39,6.51,5.06
0.18,0.53,0.27,0.44,8.79,6.53,5.19
