precision,recall,f_measure,average_precision,query_time,average_query_time,median_query_time
0.02,0.33,0.04,0.02,7.5,7.5,7.5
0.06,0.5,0.11,0.14,4.92,6.21,6.21
0.02,1.0,0.04,0.5,19.51,10.64,7.5
0.06,1.0,0.11,0.12,10.21,10.53,8.85
0.08,1.0,0.15,0.38,8.48,10.12,8.48
0.02,1.0,0.04,1.0,5.29,9.32,7.99
0.08,1.0,0.15,0.89,16.55,10.35,8.48
0.02,1.0,0.04,1.0,2.04,9.31,7.99
0.02,1.0,0.04,1.0,9.2,9.3,8.48
0.08,0.67,0.14,0.72,10.27,9.4,8.84
0.34,0.77,0.47,0.69,4.27,8.93,8.48
0.06,1.0,0.11,0.14,5.36,8.63,7.99
0.04,1.0,0.08,1.0,13.99,9.04,8.48
0.02,1.0,0.04,1.0,10.22,9.13,8.84
0.14,1.0,0.25,0.69,2.18,8.67,8.48
0.12,1.0,0.21,0.67,3.78,8.36,7.99
0.02,1.0,0.04,1.0,4.28,8.12,7.5
0.02,1.0,0.04,1.0,11.9,8.33,7.99
0.02,0.5,0.04,0.2,9.34,8.38,8.48
0.2,0.67,0.31,0.66,7.1,8.32,7.99
0.16,0.57,0.25,0.42,3.31,8.08,7.5
0.04,0.67,0.08,0.21,2.7,7.84,7.3
0.26,1.0,0.41,0.7,4.42,7.69,7.1
0.04,1.0,0.08,0.83,17.7,8.1,7.3
0.02,0.5,0.04,1.0,8.83,8.13,7.5
0.1,0.56,0.17,0.53,6.37,8.07,7.3
0.04,1.0,0.08,1.0,7.27,8.04,7.27
0.0,0.0,0.0,0.0,5.63,7.95,7.19
0.04,1.0,0.08,1.0,10.3,8.03,7.27
0.04,1.0,0.08,0.2,7.65,8.02,7.39
0.4,0.95,0.56,0.75,6.96,7.98,7.27
0.04,1.0,0.08,0.38,2.62,7.82,7.19
0.0,0.0,0.0,0.0,6.1,7.76,7.1
0.02,1.0,0.04,1.0,20.65,8.14,7.19
0.16,1.0,0.28,0.81,3.48,8.01,7.1
0.28,1.0,0.44,0.77,10.59,8.08,7.19
0.04,1.0,0.08,1.0,8.17,8.08,7.27
0.02,1.0,0.04,1.0,11.29,8.17,7.39
0.12,1.0,0.21,0.79,13.95,8.32,7.5
0.2,1.0,0.33,0.5,2.03,8.16,7.39
0.42,0.95,0.58,0.88,4.46,8.07,7.27
0.1,1.0,0.18,0.69,15.73,8.25,7.39
0.02,1.0,0.04,1.0,1.52,8.1,7.27
0.02,1.0,0.04,1.0,6.66,8.06,7.19
0.02,1.0,0.04,0.06,4.2,7.98,7.1
0.02,1.0,0.04,1.0,9.77,8.02,7.19
0.02,0.2,0.04,0.02,8.7,8.03,7.27
0.04,0.5,0.07,0.04,3.02,7.93,7.19
0.16,1.0,0.28,0.61,5.98,7.89,7.1
0.06,1.0,0.11,0.27,12.66,7.98,7.19
0.02,0.33,0.04,0.5,8.36,7.99,7.27
0.06,0.6,0.11,0.36,4.31,7.92,7.19
0.04,0.67,0.08,0.07,8.45,7.93,7.27
0.24,1.0,0.39,0.55,1.74,7.81,7.19
0.02,0.2,0.04,0.07,2.7,7.72,7.1
0.16,0.89,0.27,0.52,1.28,7.61,7.03
0.02,1.0,0.04,0.12,3.08,7.53,6.96
0.04,1.0,0.08,1.0,4.38,7.47,6.81
0.0,0.0,0.0,0.0,9.67,7.51,6.96
0.06,1.0,0.11,1.0,3.14,7.44,6.81
0.14,1.0,0.25,0.9,5.47,7.4,6.66
0.02,1.0,0.04,0.09,4.44,7.36,6.51
0.0,0.0,0.0,0.0,6.19,7.34,6.37
0.0,0.0,0.0,0.0,7.96,7.35,6.51
0.1,0.62,0.17,0.28,6.54,7.34,6.54
0.06,0.5,0.11,0.7,5.44,7.31,6.45
0.0,0.0,0.0,0.0,2.29,7.23,6.37
0.14,0.7,0.23,0.8,3.42,7.18,6.28
0.02,1.0,0.04,0.33,3.09,7.12,6.19
0.02,1.0,0.04,1.0,3.87,7.07,6.15
0.1,0.56,0.17,0.3,5.1,7.04,6.1
0.02,0.25,0.04,0.03,4.32,7.0,6.04
0.02,1.0,0.04,0.5,8.12,7.02,6.1
0.02,1.0,0.04,0.5,5.57,7.0,6.04
0.06,0.75,0.11,0.09,2.92,6.95,5.98
0.02,1.0,0.04,0.5,1.72,6.88,5.8
0.04,0.67,0.08,0.83,2.96,6.83,5.63
0.02,1.0,0.04,1.0,1.36,6.76,5.6
0.04,0.67,0.08,0.11,4.12,6.72,5.57
0.0,0.0,0.0,0.0,11.68,6.78,5.6
0.06,1.0,0.11,0.81,1.58,6.72,5.57
0.02,0.14,0.04,1.0,5.68,6.71,5.6
0.1,1.0,0.18,0.33,4.57,6.68,5.57
0.06,0.75,0.11,0.79,3.67,6.65,5.52
0.0,0.0,0.0,0.0,4.08,6.62,5.47
0.02,1.0,0.04,1.0,3.06,6.57,5.46
0.02,0.33,0.04,0.12,3.87,6.54,5.44
0.02,0.25,0.04,1.0,4.86,6.52,5.4
0.04,0.33,0.07,0.06,3.09,6.49,5.36
0.02,1.0,0.04,1.0,0.49,6.42,5.32
0.0,0.0,0.0,0.0,2.09,6.37,5.29
0.04,0.4,0.07,0.13,3.29,6.34,5.19
0.14,1.0,0.25,0.91,4.34,6.32,5.1
0.08,0.44,0.14,0.2,1.57,6.27,5.01
0.02,1.0,0.04,0.04,17.2,6.38,5.1
0.02,1.0,0.04,0.02,5.21,6.37,5.15
0.0,0.0,0.0,0.0,3.1,6.34,5.1
0.0,0.0,0.0,0.0,1.96,6.29,5.01
0.1,1.0,0.18,0.3,2.43,6.25,4.92
0.18,0.53,0.27,0.44,8.67,6.28,5.01
