precision,recall,f_measure,average_precision,query_time,average_query_time,median_query_time
0.06,1.0,0.11,0.83,4.16,4.16,4.16
0.12,1.0,0.21,0.83,3.44,3.8,3.8
0.02,1.0,0.04,1.0,6.49,4.7,4.16
0.06,1.0,0.11,0.36,3.6,4.42,3.88
0.08,1.0,0.15,0.73,4.15,4.37,4.15
0.02,1.0,0.04,1.0,2.6,4.07,3.88
0.08,1.0,0.15,1.0,6.89,4.48,4.15
0.02,1.0,0.04,0.5,2.75,4.26,3.88
0.02,1.0,0.04,1.0,3.66,4.19,3.66
0.12,1.0,0.21,0.93,3.08,4.08,3.63
0.36,0.82,0.5,0.95,1.43,3.84,3.6
0.06,1.0,0.11,0.15,2.11,3.7,3.52
0.04,1.0,0.08,1.0,6.58,3.92,3.6
0.02,1.0,0.04,1.0,1.83,3.77,3.52
0.14,1.0,0.25,0.46,3.35,3.74,3.44
0.12,1.0,0.21,1.0,1.88,3.62,3.39
0.02,1.0,0.04,1.0,1.96,3.53,3.35
0.02,1.0,0.04,1.0,7.17,3.73,3.39
0.02,0.5,0.04,0.12,3.66,3.73,3.44
0.3,1.0,0.46,0.96,3.5,3.71,3.47
0.28,1.0,0.44,1.0,0.48,3.56,3.44
0.06,1.0,0.11,0.46,0.68,3.43,3.39
0.26,1.0,0.41,0.95,3.32,3.42,3.35
0.04,1.0,0.08,1.0,9.01,3.66,3.39
0.04,1.0,0.08,0.7,6.64,3.78,3.44
0.06,0.33,0.1,0.59,4.87,3.82,3.47
0.04,1.0,0.08,1.0,3.02,3.79,3.44
0.0,0.0,0.0,0.0,0.81,3.68,3.39
0.04,1.0,0.08,0.83,3.08,3.66,3.35
0.04,1.0,0.08,1.0,4.36,3.69,3.39
0.38,0.9,0.54,1.0,4.41,3.71,3.44
0.04,1.0,0.08,1.0,2.43,3.67,3.39
0.0,0.0,0.0,0.0,2.48,3.63,3.35
0.02,1.0,0.04,1.0,11.88,3.88,3.39
0.16,1.0,0.28,1.0,0.76,3.79,3.35
0.28,1.0,0.44,1.0,6.55,3.86,3.39
0.04,1.0,0.08,1.0,3.77,3.86,3.44
0.02,1.0,0.04,1.0,6.4,3.93,3.47
0.12,1.0,0.21,1.0,6.0,3.98,3.5
0.5,1.0,0.67,1.0,2.21,3.94,3.47
0.2,0.45,0.28,0.91,1.79,3.88,3.44
0.1,1.0,0.18,1.0,8.54,3.99,3.47
0.02,1.0,0.04,1.0,1.55,3.94,3.44
0.02,1.0,0.04,1.0,3.74,3.93,3.47
0.02,1.0,0.04,1.0,1.36,3.88,3.44
0.02,1.0,0.04,1.0,2.4,3.84,3.39
0.1,1.0,0.18,0.33,3.28,3.83,3.35
0.0,0.0,0.0,0.0,1.22,3.78,3.33
0.16,1.0,0.28,0.9,5.13,3.81,3.35
0.06,1.0,0.11,1.0,3.46,3.8,3.39
0.02,0.33,0.04,0.08,6.99,3.86,3.44
0.06,0.6,0.11,0.81,5.77,3.9,3.45
0.02,0.33,0.04,0.03,4.02,3.9,3.46
0.24,1.0,0.39,1.0,0.32,3.83,3.45
0.1,1.0,0.18,0.88,2.34,3.81,3.44
0.16,0.89,0.27,1.0,0.17,3.74,3.39
0.02,1.0,0.04,1.0,1.08,3.69,3.35
0.04,1.0,0.08,1.0,2.54,3.67,3.33
0.0,0.0,0.0,0.0,3.84,3.68,3.35
0.06,1.0,0.11,1.0,1.23,3.64,3.33
0.14,1.0,0.25,1.0,0.7,3.59,3.32
0.02,1.0,0.04,1.0,2.93,3.58,3.3
0.06,1.0,0.11,0.2,3.32,3.57,3.32
0.0,0.0,0.0,0.0,3.04,3.57,3.3
0.12,0.75,0.21,0.49,3.51,3.56,3.32
0.1,0.83,0.18,0.94,1.05,3.53,3.3
0.0,0.0,0.0,0.0,3.13,3.52,3.28
0.14,0.7,0.23,0.96,1.37,3.49,3.2
0.02,1.0,0.04,0.2,2.51,3.47,3.13
0.02,1.0,0.04,0.5,1.1,3.44,3.1
0.16,0.89,0.27,0.72,1.0,3.41,3.08
0.08,1.0,0.15,0.74,3.03,3.4,3.08
0.02,1.0,0.04,1.0,4.55,3.42,3.08
0.02,1.0,0.04,1.0,1.81,3.4,3.08
0.08,1.0,0.15,0.11,1.72,3.37,3.08
0.02,1.0,0.04,1.0,0.54,3.34,3.06
0.04,0.67,0.08,1.0,2.59,3.33,3.04
0.02,1.0,0.04,1.0,0.52,3.29,3.03
0.06,1.0,0.11,0.4,3.01,3.29,3.03
0.02,1.0,0.04,0.17,5.43,3.31,3.03
0.06,1.0,0.11,0.92,1.87,3.3,3.03
0.06,0.43,0.11,0.31,3.15,3.29,3.03
0.0,0.0,0.0,0.0,2.75,3.29,3.03
0.06,0.75,0.11,1.0,2.25,3.28,3.02
0.04,0.67,0.08,0.03,1.43,3.25,3.02
0.02,1.0,0.04,1.0,2.96,3.25,3.01
0.02,0.33,0.04,0.12,2.01,3.24,3.01
0.0,0.0,0.0,0.0,2.22,3.22,2.99
0.12,1.0,0.21,0.25,1.55,3.21,2.96
0.02,1.0,0.04,1.0,0.07,3.17,2.95
0.02,1.0,0.04,0.17,0.32,3.14,2.93
0.1,1.0,0.18,0.22,0.82,3.11,2.84
0.14,1.0,0.25,1.0,4.14,3.12,2.93
0.18,1.0,0.31,1.0,1.19,3.1,2.84
0.02,1.0,0.04,0.25,6.21,3.14,2.93
0.02,1.0,0.04,0.07,1.43,3.12,2.84
0.0,0.0,0.0,0.0,1.98,3.11,2.75
