precision,recall,f_measure,average_precision,query_time,average_query_time,median_query_time
0.03,1.0,0.06,0.83,4.59,4.59,4.59
0.06,1.0,0.11,0.83,3.24,3.91,3.91
0.01,1.0,0.02,1.0,6.84,4.89,4.59
0.03,1.0,0.06,0.92,3.81,4.62,4.2
0.04,1.0,0.08,0.73,4.39,4.57,4.39
0.01,1.0,0.02,1.0,2.95,4.3,4.1
0.04,1.0,0.08,1.0,7.8,4.8,4.39
0.01,1.0,0.02,0.5,2.16,4.47,4.1
0.01,1.0,0.02,1.0,3.2,4.33,3.81
0.06,1.0,0.11,0.93,2.9,4.19,3.53
0.18,0.82,0.3,0.95,1.36,3.93,3.24
0.03,1.0,0.06,0.54,1.67,3.74,3.22
0.02,1.0,0.04,1.0,5.89,3.91,3.24
0.01,1.0,0.02,1.0,1.55,3.74,3.22
0.07,1.0,0.13,1.0,2.87,3.68,3.2
0.06,1.0,0.11,1.0,1.7,3.56,3.07
0.01,1.0,0.02,1.0,1.73,3.45,2.95
0.01,1.0,0.02,1.0,6.26,3.61,3.07
0.02,1.0,0.04,0.83,3.08,3.58,3.08
0.04,0.27,0.07,0.62,2.94,3.55,3.02
0.14,1.0,0.25,0.37,0.38,3.4,2.95
0.03,1.0,0.06,0.46,0.53,3.27,2.94
0.13,1.0,0.23,0.95,3.11,3.26,2.95
0.02,1.0,0.04,1.0,7.24,3.42,3.02
0.02,1.0,0.04,0.7,5.67,3.51,3.08
0.09,1.0,0.17,0.25,4.28,3.54,3.1
0.02,1.0,0.04,1.0,2.65,3.51,3.08
0.0,0.0,0.0,0.0,0.6,3.41,3.02
0.02,1.0,0.04,0.83,2.41,3.37,2.95
0.02,1.0,0.04,1.0,3.7,3.38,3.02
0.19,0.9,0.31,1.0,3.7,3.39,3.08
0.02,1.0,0.04,1.0,2.04,3.35,3.02
0.0,0.0,0.0,0.0,2.35,3.32,2.95
0.01,1.0,0.02,1.0,12.68,3.6,3.02
0.08,1.0,0.15,1.0,0.73,3.51,2.95
0.14,1.0,0.25,1.0,6.86,3.61,3.02
0.02,1.0,0.04,1.0,4.35,3.63,3.08
0.01,1.0,0.02,1.0,6.46,3.7,3.1
0.06,1.0,0.11,1.0,6.32,3.77,3.11
0.5,1.0,0.67,1.0,2.45,3.74,3.1
0.22,1.0,0.36,0.99,1.74,3.69,3.08
0.05,1.0,0.1,1.0,7.49,3.78,3.1
0.01,1.0,0.02,1.0,1.89,3.73,3.08
0.01,1.0,0.02,1.0,2.94,3.72,3.02
0.01,1.0,0.02,1.0,1.18,3.66,2.95
0.01,1.0,0.02,1.0,2.43,3.63,2.94
0.05,1.0,0.1,0.33,3.78,3.64,2.95
0.04,1.0,0.08,0.89,1.33,3.59,2.94
0.08,1.0,0.15,0.9,3.5,3.59,2.95
0.03,1.0,0.06,1.0,2.8,3.57,2.94
0.03,1.0,0.06,0.21,4.39,3.59,2.95
0.03,0.6,0.06,0.81,3.19,3.58,3.02
0.02,0.67,0.04,0.26,2.9,3.57,2.95
0.12,1.0,0.21,1.0,0.2,3.5,2.94
0.05,1.0,0.1,0.88,2.03,3.48,2.94
0.08,0.89,0.15,1.0,0.18,3.42,2.94
0.01,1.0,0.02,1.0,1.29,3.38,2.94
0.02,1.0,0.04,1.0,2.0,3.36,2.92
0.0,0.0,0.0,0.0,3.61,3.36,2.94
0.03,1.0,0.06,1.0,1.2,3.32,2.92
0.07,1.0,0.13,1.0,0.73,3.28,2.9
0.01,1.0,0.02,1.0,2.8,3.27,2.9
0.03,1.0,0.06,0.2,3.52,3.28,2.9
0.01,1.0,0.02,0.05,3.4,3.28,2.92
0.07,0.88,0.13,0.43,3.37,3.28,2.94
0.06,1.0,0.11,0.8,0.98,3.25,2.92
0.02,0.67,0.04,0.02,3.28,3.25,2.94
0.07,0.7,0.13,0.96,1.23,3.22,2.92
0.01,1.0,0.02,0.2,2.93,3.21,2.93
0.01,1.0,0.02,0.5,1.08,3.18,2.92
0.09,1.0,0.17,0.63,0.89,3.15,2.9
0.04,1.0,0.08,0.74,4.0,3.16,2.92
0.01,1.0,0.02,1.0,5.58,3.2,2.93
0.01,1.0,0.02,1.0,2.01,3.18,2.92
0.04,1.0,0.08,1.0,2.01,3.16,2.9
0.01,1.0,0.02,1.0,0.71,3.13,2.9
0.02,0.67,0.04,1.0,2.6,3.12,2.9
0.01,1.0,0.02,1.0,0.47,3.09,2.88
0.03,1.0,0.06,0.4,4.32,3.11,2.9
0.01,1.0,0.02,0.17,6.77,3.15,2.9
0.03,1.0,0.06,0.92,1.75,3.13,2.9
0.03,0.43,0.06,0.31,3.79,3.14,2.9
0.05,1.0,0.1,1.0,3.31,3.14,2.9
0.03,0.75,0.06,1.0,2.2,3.13,2.9
0.02,0.67,0.04,0.03,1.5,3.11,2.9
0.01,1.0,0.02,1.0,3.45,3.12,2.9
0.01,0.33,0.02,0.12,2.5,3.11,2.9
0.04,1.0,0.08,0.67,2.26,3.1,2.88
0.06,1.0,0.11,0.25,1.78,3.09,2.87
0.01,1.0,0.02,1.0,0.06,3.05,2.84
0.01,1.0,0.02,0.17,0.3,3.02,2.8
0.05,1.0,0.1,0.22,0.75,3.0,2.8
0.07,1.0,0.13,1.0,4.97,3.02,2.8
0.09,1.0,0.17,0.33,1.14,3.0,2.8
0.01,1.0,0.02,0.25,7.34,3.05,2.8
0.01,1.0,0.02,0.07,1.97,3.03,2.8
0.0,0.0,0.0,0.0,1.98,3.02,2.8
0.02,1.0,0.04,0.06,1.51,3.01,2.72
0.05,1.0,0.1,0.76,1.5,2.99,2.65
0.16,0.94,0.27,0.58,5.34,3.02,2.72
