precision,recall,f_measure,average_precision,query_time,average_query_time,median_query_time
0.03,1.0,0.06,0.28,4.0,4.0,4.0
0.06,1.0,0.11,0.51,2.77,3.39,3.39
0.01,1.0,0.02,1.0,5.35,4.04,4.0
0.03,1.0,0.06,0.04,2.64,3.69,3.39
0.04,1.0,0.08,0.62,3.74,3.7,3.74
0.01,1.0,0.02,1.0,2.5,3.5,3.26
0.04,1.0,0.08,1.0,7.01,4.0,3.74
0.01,1.0,0.02,1.0,2.38,3.8,3.26
0.01,1.0,0.02,1.0,3.46,3.76,3.46
0.06,1.0,0.11,0.74,2.97,3.68,3.21
0.19,0.86,0.31,0.91,1.62,3.49,2.97
0.03,1.0,0.06,0.08,1.92,3.36,2.87
0.02,1.0,0.04,1.0,6.17,3.58,2.97
0.01,1.0,0.02,1.0,1.92,3.46,2.87
0.07,1.0,0.13,0.48,2.92,3.42,2.92
0.06,1.0,0.11,0.92,2.09,3.34,2.85
0.01,1.0,0.02,1.0,1.91,3.26,2.77
0.01,1.0,0.02,1.0,7.02,3.47,2.85
0.01,0.5,0.02,0.04,3.26,3.46,2.92
0.15,1.0,0.26,0.9,2.9,3.43,2.91
0.14,1.0,0.25,0.95,0.36,3.28,2.9
0.03,1.0,0.06,0.61,0.54,3.16,2.84
0.13,1.0,0.23,0.96,2.86,3.14,2.86
0.02,1.0,0.04,1.0,7.54,3.33,2.88
0.02,1.0,0.04,0.59,5.51,3.41,2.9
0.09,1.0,0.17,0.56,3.97,3.44,2.91
0.02,1.0,0.04,1.0,2.6,3.4,2.9
0.0,0.0,0.0,0.0,0.64,3.31,2.88
0.02,1.0,0.04,1.0,2.35,3.27,2.86
0.02,1.0,0.04,0.07,3.75,3.29,2.88
0.2,0.95,0.33,0.88,3.5,3.3,2.9
0.02,1.0,0.04,1.0,1.93,3.25,2.88
0.02,0.67,0.04,0.02,2.25,3.22,2.86
0.01,1.0,0.02,1.0,9.45,3.41,2.88
0.08,1.0,0.15,1.0,0.62,3.33,2.86
0.14,1.0,0.25,1.0,4.95,3.37,2.88
0.02,1.0,0.04,1.0,3.18,3.37,2.9
0.01,1.0,0.02,1.0,4.94,3.41,2.91
0.06,1.0,0.11,0.98,4.89,3.45,2.92
0.5,1.0,0.67,0.5,1.63,3.4,2.91
0.17,0.77,0.28,0.58,1.6,3.36,2.9
0.05,1.0,0.1,1.0,5.95,3.42,2.91
0.01,1.0,0.02,1.0,1.33,3.37,2.9
0.01,1.0,0.02,1.0,2.37,3.35,2.88
