precision,recall,f_measure,average_precision,query_time,average_query_time,median_query_time
0.2,0.67,0.31,0.37,3.5,3.5,3.5
0.3,0.5,0.37,0.81,3.02,3.26,3.26
0.1,1.0,0.18,1.0,6.09,4.2,3.5
0.3,1.0,0.46,0.64,2.76,3.84,3.26
0.4,1.0,0.57,0.62,3.82,3.84,3.5
0.1,1.0,0.18,1.0,2.44,3.6,3.26
0.4,1.0,0.57,1.0,6.02,3.95,3.5
0.1,1.0,0.18,1.0,2.14,3.72,3.26
0.1,1.0,0.18,1.0,3.8,3.73,3.5
0.4,0.67,0.5,1.0,3.39,3.7,3.45
1.0,0.45,0.62,1.0,1.74,3.52,3.39
0.3,1.0,0.46,0.5,2.24,3.41,3.21
0.2,1.0,0.33,1.0,6.94,3.68,3.39
0.1,1.0,0.18,1.0,2.23,3.58,3.21
0.7,1.0,0.82,0.98,3.18,3.55,3.18
0.6,1.0,0.75,0.92,1.98,3.46,3.1
0.1,1.0,0.18,1.0,2.1,3.38,3.02
0.1,1.0,0.18,1.0,6.48,3.55,3.1
0.1,0.5,0.17,1.0,3.54,3.55,3.18
0.6,0.4,0.48,0.8,3.29,3.54,3.23
0.5,0.36,0.42,0.68,0.43,3.39,3.18
0.3,1.0,0.46,0.61,0.64,3.26,3.1
1.0,0.77,0.87,1.0,3.32,3.26,3.18
0.2,1.0,0.33,1.0,8.8,3.5,3.23
0.1,0.5,0.17,1.0,6.44,3.61,3.29
0.5,0.56,0.53,0.81,4.71,3.66,3.3
0.2,1.0,0.33,1.0,3.05,3.63,3.29
0.0,0.0,0.0,0.0,0.75,3.53,3.23
0.2,1.0,0.33,1.0,2.82,3.51,3.18
0.2,1.0,0.33,0.83,4.28,3.53,3.23
0.9,0.43,0.58,0.99,3.84,3.54,3.29
0.2,1.0,0.33,1.0,1.92,3.49,3.23
0.0,0.0,0.0,0.0,2.45,3.46,3.18
0.1,1.0,0.18,1.0,11.54,3.7,3.23
0.8,1.0,0.89,1.0,0.63,3.61,3.18
1.0,0.71,0.83,1.0,5.34,3.66,3.23
0.2,1.0,0.33,1.0,3.39,3.65,3.29
0.1,1.0,0.18,1.0,5.71,3.7,3.3
0.6,1.0,0.75,0.98,5.65,3.75,3.32
0.5,1.0,0.67,0.5,1.68,3.7,3.3
0.9,0.41,0.56,0.96,1.66,3.65,3.29
0.5,1.0,0.67,1.0,6.75,3.73,3.3
0.1,1.0,0.18,1.0,1.69,3.68,3.29
0.1,1.0,0.18,1.0,2.56,3.65,3.23
0.1,1.0,0.18,0.2,1.05,3.6,3.18
0.1,1.0,0.18,1.0,2.04,3.56,3.12
0.2,0.4,0.27,0.33,2.7,3.54,3.05
0.3,0.75,0.43,0.28,0.91,3.49,3.04
0.8,1.0,0.89,1.0,3.32,3.48,3.05
0.3,1.0,0.46,0.81,2.92,3.47,3.04
0.1,0.33,0.15,1.0,4.45,3.49,3.05
0.3,0.6,0.4,1.0,2.9,3.48,3.04
0.3,1.0,0.46,0.28,2.9,3.47,3.02
0.8,0.67,0.73,0.93,0.22,3.41,2.97
0.2,0.4,0.27,0.27,1.9,3.38,2.92
0.7,0.78,0.74,0.91,0.15,3.33,2.91
0.1,1.0,0.18,1.0,0.77,3.28,2.9
0.2,1.0,0.33,1.0,1.51,3.25,2.9
0.0,0.0,0.0,0.0,2.9,3.24,2.9
0.3,1.0,0.46,0.81,0.87,3.2,2.9
0.7,1.0,0.82,0.94,0.55,3.16,2.9
0.1,1.0,0.18,0.5,2.41,3.15,2.86
0.0,0.0,0.0,0.0,2.42,3.14,2.82
0.0,0.0,0.0,0.0,2.05,3.12,2.79
0.4,0.5,0.44,0.55,2.92,3.12,2.82
0.3,0.5,0.37,1.0,0.79,3.08,2.79
0.0,0.0,0.0,0.0,2.41,3.07,2.76
0.7,0.7,0.7,0.96,0.9,3.04,2.73
0.1,1.0,0.18,1.0,1.94,3.02,2.7
0.1,1.0,0.18,1.0,0.99,2.99,2.63
0.5,0.56,0.53,0.83,0.82,2.96,2.56
0.2,0.5,0.29,0.27,2.45,2.96,2.51
0.1,1.0,0.18,1.0,3.73,2.97,2.56
0.1,1.0,0.18,1.0,1.54,2.95,2.51
0.3,0.75,0.43,0.76,1.34,2.93,2.45
0.1,1.0,0.18,1.0,0.54,2.9,2.45
0.2,0.67,0.31,1.0,1.92,2.88,2.45
0.1,1.0,0.18,1.0,0.38,2.85,2.44
0.2,0.67,0.31,0.42,2.26,2.84,2.44
0.0,0.0,0.0,0.0,4.66,2.87,2.44
0.3,1.0,0.46,1.0,1.36,2.85,2.44
0.2,0.29,0.24,0.62,2.36,2.84,2.43
0.4,0.8,0.53,0.83,2.3,2.83,2.42
0.3,0.75,0.43,0.92,1.7,2.82,2.42
0.0,0.0,0.0,0.0,1.12,2.8,2.41
0.1,1.0,0.18,1.0,2.24,2.79,2.41
0.1,0.33,0.15,1.0,1.7,2.78,2.41
0.2,0.5,0.29,0.6,1.77,2.77,2.39
0.2,0.33,0.25,0.23,1.06,2.75,2.36
0.1,1.0,0.18,1.0,0.05,2.72,2.33
0.0,0.0,0.0,0.0,0.24,2.69,2.3
0.2,0.4,0.27,0.36,0.69,2.67,2.28
0.7,1.0,0.82,0.98,3.38,2.68,2.3
0.4,0.44,0.42,0.48,0.94,2.66,2.28
0.1,1.0,0.18,1.0,5.26,2.69,2.3
0.1,1.0,0.18,0.12,1.17,2.67,2.28
0.0,0.0,0.0,0.0,1.63,2.66,2.26
0.0,0.0,0.0,0.0,1.23,2.65,2.25
